Ma_danh_muc,Mo_ta,Ten_danh_muc
LSP0,string,string
LSP051,"Mũ len ấm áp, phong cách Hàn Quốc",Mũ len
LSP174,"Mũ bucket phong cách, bảo vệ khỏi nắng mưa",Mũ bucket
LSP254,"Mũ lưỡi trai thời trang, đa dạng màu sắc và kiểu dáng",Mũ lưỡi trai
LSP418,"Mũ snapback thể thao, năng động",Mũ snapback
LSP422,"Mũ beanie ấm áp, phù hợp cho mùa đông",Mũ beanie
LSP679,"Mũ beanie ấm áp, phù hợp cho mùa đông",Mũ beanie
LSP770,"Mũ lưỡi trai thời trang, đa dạng màu sắc và kiểu dáng",Mũ lưỡi trai
LSP820,"Mũ bucket phong cách, bảo vệ khỏi nắng mưa",Mũ bucket
LSP860,"Mũ nồi cổ điển, lịch lãm",Mũ nồi
